               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.018303,           0.0078113,            0.011663,             0.89517,             0.87778,             0.94418,             0.76814,            0.014096,           0.0025132,           0.0080432,           0.0030205,           0.0030205,           0.0030205
                 143,            0.018862,           0.0081372,            0.012398,             0.90584,             0.89832,             0.94215,             0.76308,            0.014383,           0.0025767,           0.0071982,            0.002971,            0.002971,            0.002971
                 144,            0.018135,           0.0079062,            0.012215,             0.90243,             0.89143,             0.94314,             0.77464,            0.013611,           0.0024969,           0.0060415,           0.0029215,           0.0029215,           0.0029215
                 145,            0.018636,            0.007803,            0.011761,             0.91831,             0.88765,             0.93618,             0.75835,            0.013879,           0.0024058,            0.006651,            0.002872,            0.002872,            0.002872
                 146,            0.018559,           0.0075707,            0.012488,             0.92064,             0.86586,              0.9392,             0.76597,            0.014179,           0.0023368,           0.0066361,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018624,           0.0078113,            0.011555,             0.91459,             0.85994,             0.93215,             0.74186,            0.015027,           0.0024776,           0.0080547,            0.002773,            0.002773,            0.002773
                 148,            0.018335,           0.0080339,            0.012385,             0.91425,             0.85089,             0.94494,             0.77071,            0.014524,           0.0024243,           0.0083469,           0.0027235,           0.0027235,           0.0027235
                 149,            0.018121,           0.0077867,            0.011472,             0.91391,             0.87412,             0.94029,             0.75626,            0.014306,           0.0024708,           0.0067122,            0.002674,            0.002674,            0.002674
                 150,            0.017542,           0.0077741,             0.01225,             0.89842,              0.8921,             0.93514,             0.76291,            0.014253,           0.0024059,           0.0067784,           0.0026245,           0.0026245,           0.0026245
                 151,            0.018033,           0.0074951,            0.011063,              0.8951,             0.86685,             0.92817,             0.74373,             0.01462,           0.0024815,           0.0093855,            0.002575,            0.002575,            0.002575
                 152,             0.01864,           0.0081493,            0.012134,             0.91619,             0.87069,             0.94209,             0.76499,            0.013939,            0.002496,           0.0086509,           0.0025255,           0.0025255,           0.0025255
                 153,            0.018215,            0.007834,            0.011424,              0.9009,             0.88794,             0.94372,             0.76212,            0.014735,           0.0025283,           0.0070603,            0.002476,            0.002476,            0.002476
                 154,            0.018309,           0.0077171,            0.010156,             0.90357,              0.8581,             0.93484,             0.75413,            0.014529,           0.0025228,           0.0084749,           0.0024265,           0.0024265,           0.0024265
                 155,            0.017968,           0.0075643,            0.011657,             0.91077,              0.8533,             0.94071,             0.75171,            0.014489,           0.0024604,           0.0083332,            0.002377,            0.002377,            0.002377
                 156,            0.018344,            0.007605,              0.0117,             0.89579,             0.87307,             0.94914,             0.77535,            0.014428,           0.0024532,           0.0074958,           0.0023275,           0.0023275,           0.0023275
